epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.767,1.07551,3.13262,1.44733,0.68263,0.15015,0.25729,0.17379,1.17204,3.37451,1.42168,0.00328704,0.00328704,0.00328704
2,38.6891,1.02757,1.99548,1.35259,0.52979,0.53203,0.49481,0.35595,1.25182,2.16671,1.48519,0.00660726,0.00660726,0.00660726
3,57.3136,1.06257,1.72738,1.35942,0.37915,0.42314,0.35851,0.22056,1.53293,2.46796,1.74253,0.00991429,0.00991429,0.00991429
4,75.8517,1.11838,1.63323,1.39647,0.49676,0.46909,0.43781,0.31106,1.28901,1.92594,1.62218,0.0099406,0.0099406,0.0099406
5,94.4443,1.07272,1.43912,1.37401,0.46074,0.50876,0.46337,0.3218,1.3914,1.87483,1.65568,0.0099208,0.0099208,0.0099208
6,113.048,1.0573,1.32997,1.35342,0.5271,0.60771,0.53883,0.40575,1.23279,1.40652,1.53828,0.009901,0.009901,0.009901
7,131.653,1.0328,1.26913,1.34077,0.46896,0.53263,0.48374,0.34396,1.24229,1.49389,1.49485,0.0098812,0.0098812,0.0098812
8,150.319,1.01287,1.1903,1.31926,0.55089,0.56878,0.54912,0.40303,1.19076,1.50471,1.38274,0.0098614,0.0098614,0.0098614
9,168.865,0.98881,1.1477,1.29878,0.56221,0.56857,0.56245,0.39995,1.29525,1.37193,1.47946,0.0098416,0.0098416,0.0098416
10,187.314,0.99377,1.12504,1.30657,0.70223,0.63902,0.63186,0.46595,1.2355,1.11212,1.41784,0.0098218,0.0098218,0.0098218
11,205.824,0.96499,1.09263,1.28195,0.5486,0.60562,0.56674,0.44481,1.17085,1.52212,1.4636,0.009802,0.009802,0.009802
12,224.381,0.93289,1.03769,1.27004,0.58932,0.64382,0.60707,0.45301,1.20845,1.25009,1.44176,0.0097822,0.0097822,0.0097822
13,243.049,0.93561,1.01532,1.26635,0.61674,0.54919,0.61622,0.41082,1.39893,1.27575,1.657,0.0097624,0.0097624,0.0097624
14,261.72,0.92835,1.01521,1.26567,0.5378,0.60632,0.56589,0.44896,1.12946,1.26665,1.39481,0.0097426,0.0097426,0.0097426
15,280.668,0.92967,0.98738,1.26027,0.70119,0.65415,0.65912,0.51068,1.12833,1.05763,1.35315,0.0097228,0.0097228,0.0097228
16,299.374,0.92184,0.97085,1.25409,0.61867,0.60298,0.6088,0.46856,1.07725,1.13599,1.32645,0.009703,0.009703,0.009703
17,318.029,0.92643,0.95485,1.24856,0.671,0.60666,0.63239,0.48594,1.10684,1.14511,1.36605,0.0096832,0.0096832,0.0096832
18,336.743,0.89944,0.93024,1.23746,0.51128,0.55367,0.52955,0.41364,1.14214,1.46065,1.39058,0.0096634,0.0096634,0.0096634
